,Plate,PCRIndex,MultiplexGroup,RandomIndex,Col384,Row384,Plate.1,PCRIndex.1,MultiplexGroup.1,RandomIndex.1,Col384.1,Row384.1,R1InputReads,R1WithR1Adapter,R1WithTSO,R1WithN6,R1WithTSO_rc,R1WithN6_rc,R1With3PpolyT,R1With5PpolyT,R1With3PpolyA,R1With5PpolyA,R1WithpolyTLong,R1WithpolyALong,R1WithISPCR_F,R1WithISPCR_R,R1QualTrimBP,R1TrimmedReads,R1TrimmedReadsBP,R1TrimmedReadsRate,R1UniqueMappedReads,R1MappingRate,R1UnmappedReads,R1UnuniqueMappedReads,R1OT,R1OB,R1CTOT,R1CTOB,R1TotalC,R1TotalmCGRate,R1TotalmCHGRate,R1TotalmCHHRate,R1MAPQFilteredReads,R1DuplicatedReads,R1DuplicationRate,R1FinalBismarkReads,R2InputReads,R2WithR1Adapter,R2WithTSO,R2WithN6,R2WithTSO_rc,R2WithN6_rc,R2With3PpolyT,R2With5PpolyT,R2With3PpolyA,R2With5PpolyA,R2WithpolyTLong,R2WithpolyALong,R2WithISPCR_F,R2WithISPCR_R,R2QualTrimBP,R2TrimmedReads,R2TrimmedReadsBP,R2TrimmedReadsRate,R2UniqueMappedReads,R2MappingRate,R2UnmappedReads,R2UnuniqueMappedReads,R2OT,R2OB,R2CTOT,R2CTOB,R2TotalC,R2TotalmCHGRate,R2TotalmCHHRate,R2MAPQFilteredReads,R2DuplicatedReads,R2DuplicationRate,R2FinalBismarkReads,R2TotalmCGRate,mCHmC,mCHCov,mCHFrac,mCGmC,mCGCov,mCGFrac,mCCCmC,mCCCCov,mCCCFrac,GenomeCov,LambdaCYFrac,LambdaCYCov,FinalDNAReads,SelectedDNAReadsRatio,FinalCountedReads,FinalRNAReads,RNAUniqueMappedReads,SelectedRNAReadsRatio,CellInputReadPairs,CellBarcodeRatio,GenesDetected,DNAReadsYield,RNAReadsYield,RNA/(DNA+RNA),Dnmt3a_g1,Dnmt3a_g2,Foxg1_g1,Foxg1_g2,Safe_g1,Safe_g2,Total_grna,Dnmt3a_total,Foxg1_total,Safe_total,assign_ident
636,S3,A1,5,E9,8,4,S3,A1,5,E9,8,4,3706.0,741.0,3.0,0.0,58.0,14.0,123.0,144.0,371.0,176.0,2.0,54.0,0.0,61.0,960.0,3035.0,364387.0,0.8189422558014031,2187,72.1,625,223,0,0,998,1189,52209,82.8,4.2,3.7,1973,1610,0.816016,363,3706.0,826.0,36.0,0.0,8.0,72.0,390.0,2.0,86.0,1.0,59.0,6.0,0.0,5.0,3453.0,3019.0,385678.0,0.8146249325418241,2003,66.3,770,246,904,1099,0,0,55244,3.1,5.7,1736,1479,0.851959,257,82.7,375.0,14613.0,0.0256620817080681,529.0,641.0,0.8252730109204368,4.0,989.0,0.0040444893832153,2.189261630215952e-05,0.0,0.0,608.0,0.9806451612903224,56,56,86,0.6511627906976745,3706,1.6151068078281637e-05,4,0.0820291419320021,0.0151106314085267,0.1538461538461538,,,,,,,,,,,
637,S3,A1,5,F10,9,5,S3,A1,5,F10,9,5,12630.0,1191.0,25.0,0.0,186.0,16.0,356.0,449.0,1782.0,751.0,52.0,253.0,0.0,324.0,5189.0,11548.0,1380797.0,0.9143309580364212,7961,68.9,2401,1186,0,0,3986,3975,195942,74.0,1.5,1.9,7075,5677,0.802403,1398,12630.0,1490.0,290.0,0.0,13.0,266.0,1664.0,9.0,437.0,27.0,342.0,50.0,0.0,22.0,10084.0,11521.0,1464569.0,0.9121931908155186,7649,66.4,2981,891,3768,3881,0,0,196493,2.2,1.8,6378,5330,0.835685,1048,74.7,854.0,58857.0,0.0145097439556892,1783.0,2457.0,0.7256817256817257,13.0,4031.0,0.003225006201935,8.687143357097734e-05,0.0,68.0,2427.0,0.9922322158626328,40,44,106,0.4150943396226415,12630,5.504263082263818e-05,6,0.0960807600950118,0.0034837688044338,0.0314510364546104,,,,,,,,,,,
638,S3,A1,5,F21,20,5,S3,A1,5,F21,20,5,3166542.0,244084.0,13976.0,981.0,75291.0,8829.0,100746.0,155962.0,362503.0,142952.0,124731.0,77024.0,131.0,80843.0,1148796.0,2840990.0,338893377.0,0.8971900577980649,1775252,62.5,866647,199091,0,0,878198,897054,42207421,77.4,14.2,14.4,1542803,1263036,0.818663,279767,3166542.0,308307.0,61724.0,49.0,11362.0,64460.0,367205.0,1091.0,108964.0,4417.0,98409.0,56610.0,3.0,12043.0,2729064.0,2906463.0,368476479.0,0.9178665560096788,1651436,56.8,1091911,163116,818977,832459,0,0,41804095,15.5,15.2,1339008,1136452,0.848727,202556,76.9,80523.0,9856327.0,0.0081696761887059,304158.0,430980.0,0.7057357650006961,2954.0,666740.0,0.0044305126436092,0.0143146981053508,0.0,31.0,403929.0,0.8374657646431956,264142,311475,329577,0.9450750507468664,3166542,0.0138000635225952,3371,0.0637807741062648,0.0983643987668567,1.113333190357725,11.0,,,,,,11.0,11.0,,,Dnmt3a
639,S3,A1,5,F22,21,5,S3,A1,5,F22,21,5,4143380.0,226774.0,19200.0,1181.0,99112.0,13729.0,131392.0,209615.0,456524.0,303027.0,220947.0,114201.0,178.0,104680.0,1586361.0,3731762.0,445201064.0,0.9006564688732388,2442352,65.4,1025377,264033,0,0,1220949,1221403,58185359,82.4,15.9,16.8,2124840,1746074,0.821744,378766,4143380.0,315749.0,78711.0,502.0,16790.0,86394.0,485952.0,1359.0,138988.0,6407.0,139742.0,75956.0,124.0,17900.0,3752487.0,3873182.0,491412042.0,0.934788023304645,2296800,59.3,1351609,224773,1133516,1163284,0,0,58285620,18.5,18.8,1856331,1576698,0.849363,279633,82.3,306988.0,13222534.0,0.0232170323782113,452067.0,583886.0,0.7742384643577684,5225.0,907851.0,0.0057553497214851,0.019083564074315,0.0303030303030303,99.0,539903.0,0.8200240279830315,395547,459432,485382,0.9465369543988034,4143380,0.0180572078937373,3945,0.0651524842037177,0.1108833850624369,1.2129673387597124,,,,,,,,,,,
640,S3,A1,5,F9,8,5,S3,A1,5,F9,8,5,7821.0,1625.0,26.0,0.0,234.0,12.0,224.0,381.0,912.0,250.0,4.0,158.0,0.0,215.0,3301.0,6252.0,746337.0,0.7993862677406981,4404,70.4,1324,524,0,0,2482,1922,109563,80.9,1.9,2.8,3813,3077,0.806976,736,7821.0,1775.0,93.0,0.0,7.0,210.0,817.0,2.0,217.0,22.0,138.0,8.0,0.0,39.0,3780.0,6313.0,801341.0,0.8071857818693262,4127,65.4,1825,361,2338,1789,0,0,111776,2.6,3.1,3597,3046,0.846817,551,79.2,325.0,31428.0,0.0103410971108565,1082.0,1465.0,0.7385665529010239,6.0,2148.0,0.0027932960893854,4.572816705661232e-05,0.0,0.0,1267.0,0.9844599844599844,77,77,118,0.652542372881356,7821,3.408459348090683e-05,11,0.0809998721391126,0.0098452883263009,0.1044776119402985,,,,,,,,,,,
641,S3,A1,5,G10,9,6,S3,A1,5,G10,9,6,9163.0,1716.0,5.0,1.0,137.0,18.0,276.0,344.0,872.0,399.0,8.0,207.0,0.0,210.0,3808.0,7463.0,895291.0,0.8144712430426716,5175,69.3,1659,629,0,0,2877,2298,122452,75.3,1.8,2.1,4551,3599,0.790815,952,9163.0,1842.0,151.0,0.0,2.0,238.0,1096.0,1.0,297.0,16.0,245.0,29.0,0.0,24.0,7081.0,7440.0,950334.0,0.8119611480956018,4882,65.6,1997,561,2633,2249,0,0,125496,2.7,2.7,4060,3378,0.83202,682,69.3,161.0,37941.0,0.0042434305895996,1224.0,1786.0,0.6853303471444568,5.0,2414.0,0.0020712510356255,5.6332649103052845e-05,0.0,0.0,1596.0,0.9767441860465116,82,110,183,0.6010928961748634,9163,3.993314538621011e-05,14,0.0870893812070282,0.0120048019207683,0.1154249737670514,,,,,,,,,,,
642,S3,A1,5,G21,20,6,S3,A1,5,G21,20,6,2780859.0,200936.0,10720.0,536.0,68606.0,7233.0,99455.0,139229.0,336730.0,90101.0,68033.0,60561.0,71.0,76491.0,922472.0,2551144.0,304887408.0,0.917394229624731,1659870,65.1,704706,186568,0,0,826604,833266,39743076,80.5,10.1,10.2,1447269,1182562,0.817099,264707,2780859.0,256529.0,50176.0,206.0,8712.0,60255.0,340448.0,955.0,91355.0,4213.0,74138.0,40404.0,38.0,7931.0,2321991.0,2578868.0,327736441.0,0.9273638109663236,1529933,59.3,893657,155278,762333,767600,0,0,39019679,10.8,10.6,1258877,1070224,0.850142,188653,80.1,169301.0,9876614.0,0.0171416033875577,325344.0,429509.0,0.7574788886845212,3428.0,668849.0,0.0051252225838716,0.0143981926558612,0.0,13.0,405733.0,0.8949466207870125,165369,192167,208768,0.9204811082158184,2780859,0.0121192236980847,2634,0.072951019810785,0.0691034676695222,0.7259584145549057,,,,,,,,,,,
643,S3,A1,5,G22,21,6,S3,A1,5,G22,21,6,3699836.0,309149.0,13847.0,1390.0,94693.0,8286.0,121477.0,174925.0,429073.0,51470.0,181688.0,84042.0,159.0,100330.0,1412278.0,3317399.0,391476089.0,0.8966340670235113,2045119,61.6,1033558,238722,0,0,1020358,1024761,49343888,73.7,10.9,11.0,1776293,1441610,0.811583,334683,3699836.0,376429.0,66176.0,163.0,12923.0,74981.0,439885.0,1122.0,119506.0,5681.0,105245.0,88169.0,24.0,12624.0,3387309.0,3427657.0,428878358.0,0.9264348473824244,1946974,56.8,1281831,198852,967832,979142,0,0,49740603,13.3,13.0,1591661,1345581,0.845394,246080,73.8,67540.0,12160302.0,0.0055541383758396,359827.0,535967.0,0.6713603636044756,3257.0,832705.0,0.0039113491572645,0.0174860764835143,0.0,86.0,496738.0,0.8553196398530898,237739,283303,304233,0.931204044268702,3699836,0.0161242048339118,3731,0.0671297322367802,0.076571772370451,0.8464790668212403,,,,,,,,,,,
644,S3,A1,5,G9,8,6,S3,A1,5,G9,8,6,9874.0,1971.0,7.0,0.0,199.0,24.0,261.0,474.0,1242.0,357.0,12.0,294.0,0.0,257.0,2309.0,7872.0,940308.0,0.7972452906623455,5525,70.2,1695,652,0,0,2776,2749,139464,75.3,0.8,1.2,4922,3998,0.812271,924,9874.0,2212.0,124.0,0.0,3.0,150.0,1186.0,0.0,368.0,13.0,317.0,12.0,0.0,22.0,7265.0,7907.0,1007688.0,0.8007899534130039,5144,65.1,2271,492,2503,2641,0,0,138583,1.2,1.4,4413,3745,0.848629,668,77.3,394.0,39569.0,0.0099572897975688,1195.0,1690.0,0.7071005917159763,9.0,2777.0,0.0032409074540871,5.750038712950653e-05,0.0,10.0,1581.0,0.9930904522613064,11,11,34,0.3235294117647059,9874,4.303174479356527e-05,4,0.0800587401255823,0.0011140368644926,0.0118918918918918,,,,,,,,,,,
645,S3,A1,5,H10,9,7,S3,A1,5,H10,9,7,17273.0,1892.0,13.0,0.0,424.0,39.0,753.0,784.0,2288.0,630.0,9.0,464.0,0.0,552.0,7720.0,15368.0,1839222.0,0.8897122677010363,10617,69.1,3244,1507,0,0,5712,4905,260916,71.5,1.0,1.1,9288,7428,0.799742,1860,17273.0,2290.0,286.0,0.0,13.0,350.0,2249.0,9.0,614.0,45.0,538.0,8.0,0.0,27.0,13950.0,15334.0,1955346.0,0.8877438777282464,9575,62.4,4463,1296,5027,4548,0,0,248792,1.2,1.3,7950,6636,0.834717,1314,73.8,319.0,76238.0,0.0041842650646659,2339.0,3383.0,0.6913981673071239,16.0,4987.0,0.0032083416883898,0.0001123328096115,0.0,0.0,3135.0,0.9877126654064272,98,104,211,0.4928909952606635,17273,7.527722582734991e-05,13,0.0907485671278874,0.0060209575638279,0.0558839333691563,,,,,,,,,,,
