Unnamed: 0,Plate,PCRIndex,MultiplexGroup,RandomIndex,Col384,Row384,Plate.1,PCRIndex.1,MultiplexGroup.1,RandomIndex.1,Col384.1,Row384.1,R1InputReads,R1WithR1Adapter,R1WithTSO,R1WithN6,R1WithTSO_rc,R1WithN6_rc,R1With3PpolyT,R1With5PpolyT,R1With3PpolyA,R1With5PpolyA,R1WithpolyTLong,R1WithpolyALong,R1WithISPCR_F,R1WithISPCR_R,R1QualTrimBP,R1TrimmedReads,R1TrimmedReadsBP,R1TrimmedReadsRate,R1UniqueMappedReads,R1MappingRate,R1UnmappedReads,R1UnuniqueMappedReads,R1OT,R1OB,R1CTOT,R1CTOB,R1TotalC,R1TotalmCGRate,R1TotalmCHGRate,R1TotalmCHHRate,R1MAPQFilteredReads,R1DuplicatedReads,R1DuplicationRate,R1FinalBismarkReads,R2InputReads,R2WithR1Adapter,R2WithTSO,R2WithN6,R2WithTSO_rc,R2WithN6_rc,R2With3PpolyT,R2With5PpolyT,R2With3PpolyA,R2With5PpolyA,R2WithpolyTLong,R2WithpolyALong,R2WithISPCR_F,R2WithISPCR_R,R2QualTrimBP,R2TrimmedReads,R2TrimmedReadsBP,R2TrimmedReadsRate,R2UniqueMappedReads,R2MappingRate,R2UnmappedReads,R2UnuniqueMappedReads,R2OT,R2OB,R2CTOT,R2CTOB,R2TotalC,R2TotalmCHGRate,R2TotalmCHHRate,R2MAPQFilteredReads,R2DuplicatedReads,R2DuplicationRate,R2FinalBismarkReads,R2TotalmCGRate,mCHmC,mCHCov,mCHFrac,mCGmC,mCGCov,mCGFrac,mCCCmC,mCCCCov,mCCCFrac,GenomeCov,LambdaCYFrac,LambdaCYCov,FinalDNAReads,SelectedDNAReadsRatio,FinalCountedReads,FinalRNAReads,RNAUniqueMappedReads,SelectedRNAReadsRatio,CellInputReadPairs,CellBarcodeRatio,GenesDetected,DNAReadsYield,RNAReadsYield,RNA/(DNA+RNA),Dnmt3a_g1,Dnmt3a_g2,Foxg1_g1,Foxg1_g2,Safe_g1,Safe_g2,Total_grna,Dnmt3a_total,Foxg1_total,Safe_total,assign_ident
19,S1,A1,2,E4,3,4,S1,A1,2,E4,3,4,70.0,1.0,0.0,0.0,11.0,0.0,2.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,62.0,70.0,8274.0,1.0,0,0.0,70,0,0,0,0,0,0,,,,0,0,0.0,0,70.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,9055.0,1.0,2,2.9,68,0,0,2,0,0,40,0.0,13.3,1,0,0.0,1,100.0,2.0,18.0,0.1111111111111111,2.0,2.0,1.0,,,,4.7969169478028624e-08,0.0,0.0,1.0,1.0,0,0,0,,70,3.050660457311697e-07,0,0.0071428571428571,0.0,0.0,,,,,,,,,,,
20,S1,A1,2,F15,14,5,S1,A1,2,F15,14,5,47.0,9.0,0.0,0.0,5.0,0.0,8.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,42.0,4873.0,0.8936170212765957,4,9.5,38,0,0,0,1,3,103,100.0,0.0,0.0,4,1,0.25,3,47.0,9.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,47.0,5491.0,1.0,4,8.5,42,1,1,3,0,0,95,0.0,4.2,4,2,0.5,2,100.0,1.0,111.0,0.009009009009009,7.0,7.0,1.0,0.0,9.0,0.0,1.5928693681635457e-07,0.0,0.0,5.0,1.0,0,0,0,,47,2.0483005927664249e-07,0,0.0531914893617021,0.0,0.0,,,,,,,,,,,
21,S1,A1,2,F16,15,5,S1,A1,2,F16,15,5,32.0,6.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,30.0,3487.0,0.9375,2,6.7,28,0,0,0,0,2,47,50.0,0.0,12.1,2,1,0.5,1,32.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,3796.0,0.96875,1,3.2,30,0,0,1,0,0,8,0.0,0.0,1,0,0.0,1,,2.0,30.0,0.0666666666666666,1.0,2.0,0.5,0.0,1.0,0.0,5.529270680291848e-08,0.1428571428571428,7.0,2.0,1.0,0,0,0,,32,1.394587637628204e-07,0,0.03125,0.0,0.0,,,,,,,,,,,
22,S1,A1,2,F3,2,5,S1,A1,2,F3,2,5,178.0,16.0,0.0,0.0,0.0,0.0,13.0,0.0,22.0,19.0,0.0,3.0,0.0,3.0,111.0,166.0,19791.0,0.9325842696629212,36,21.7,91,39,0,0,3,33,827,66.7,10.1,2.6,33,27,0.818182,6,178.0,32.0,8.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,168.0,21233.0,0.9438202247191012,52,31.0,86,30,10,42,0,0,1463,1.7,6.4,41,36,0.878049,5,100.0,4.0,233.0,0.0171673819742489,5.0,6.0,0.8333333333333334,0.0,28.0,0.0,3.244327034926211e-07,0.0,0.0,9.0,0.8181818181818182,0,2,2,1.0,178,7.757393734306886e-07,0,0.0252808988764044,0.0112359550561797,0.2857142857142857,,,,,,,,,,,
23,S1,A1,2,F4,3,5,S1,A1,2,F4,3,5,45.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,0.0,0.0,1.0,1.0,45.0,5310.0,1.0,5,11.1,40,0,0,0,0,5,150,100.0,0.0,4.2,4,3,0.75,1,45.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.0,5765.0,1.0,5,11.1,40,0,0,5,0,0,155,12.5,0.0,4,3,0.75,1,0.0,2.0,57.0,0.0350877192982456,3.0,4.0,0.75,0.0,3.0,0.0,9.081186282863433e-08,0.0,0.0,2.0,1.0,0,0,0,,45,1.961138865414662e-07,0,0.0222222222222222,0.0,0.0,,,,,,,,,,,
24,S1,A1,2,G15,14,6,S1,A1,2,G15,14,6,41.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,4836.0,0.975609756097561,2,5.0,38,0,0,0,2,0,54,100.0,0.0,0.0,2,1,0.5,1,41.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,5170.0,0.975609756097561,2,5.0,38,0,2,0,0,0,60,0.0,0.0,2,1,0.5,1,100.0,0.0,54.0,0.0,3.0,3.0,1.0,0.0,2.0,0.0,5.199711500671804e-08,0.0,0.0,2.0,1.0,0,0,0,,41,1.7868154107111364e-07,0,0.024390243902439,0.0,0.0,,,,,,,,,,,
25,S1,A1,2,G16,15,6,S1,A1,2,G16,15,6,102.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,11.0,0.0,0.0,0.0,25.0,0.0,102.0,12174.0,1.0,0,0.0,102,0,0,0,0,0,0,,,,0,0,0.0,0,102.0,6.0,0.0,0.0,0.0,0.0,26.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,13.0,101.0,12871.0,0.9901960784313726,6,5.9,95,0,6,0,0,0,144,0.0,0.0,6,5,0.833333,1,0.0,0.0,22.0,0.0,0.0,2.0,0.0,,,,4.7969169478028624e-08,0.0,0.0,1.0,1.0,0,0,0,,102,4.4452480949399e-07,0,0.0049019607843137,0.0,0.0,,,,,,,,,,,
26,S1,A1,2,G3,2,6,S1,A1,2,G3,2,6,47.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,11.0,0.0,0.0,1.0,47.0,4843.0,1.0,1,2.1,46,0,0,0,1,0,6,,0.0,0.0,1,0,0.0,1,47.0,13.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,47.0,5798.0,1.0,2,4.3,45,0,2,0,0,0,21,0.0,0.0,2,0,0.0,2,,0.0,27.0,0.0,,,,0.0,1.0,0.0,7.470008071387664e-08,0.0,0.0,3.0,1.0,0,0,0,,47,2.0483005927664249e-07,0,0.0319148936170212,0.0,0.0,,,,,,,,,,,
27,S1,A1,2,G4,3,6,S1,A1,2,G4,3,6,45.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,42.0,4860.0,0.9333333333333332,0,0.0,42,0,0,0,0,0,0,,,,0,0,0.0,0,45.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,43.0,5238.0,0.9555555555555556,0,0.0,43,0,0,0,0,0,0,,,0,0,0.0,0,,,,,,,,,,,,0.0,0.0,,,0,0,0,,45,1.961138865414662e-07,0,,0.0,0.0,,,,,,,,,,,
28,S1,A1,2,H15,14,7,S1,A1,2,H15,14,7,78.0,5.0,0.0,0.0,4.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,77.0,9284.0,0.9871794871794872,1,1.3,76,0,0,0,1,0,27,,0.0,0.0,1,0,0.0,1,78.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,77.0,9894.0,0.9871794871794872,1,1.3,76,0,1,0,0,0,37,0.0,0.0,0,0,0.0,0,,0.0,27.0,0.0,,,,0.0,3.0,0.0,4.5039754548072674e-08,0.0,0.0,1.0,1.0,0,0,0,,78,3.399307366718748e-07,0,0.0064102564102564,0.0,0.0,,,,,,,,,,,
29,S1,A1,2,H16,15,7,S1,A1,2,H16,15,7,48.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,5095.0,0.8958333333333334,0,0.0,43,0,0,0,0,0,0,,,,0,0,0.0,0,48.0,10.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,43.0,5319.0,0.8958333333333334,0,0.0,43,0,0,0,0,0,0,,,0,0,0.0,0,,,,,,,,,,,,0.0,0.0,,,0,0,0,,48,2.091881456442306e-07,0,,0.0,0.0,,,,,,,,,,,
30,S1,A1,2,H3,2,7,S1,A1,2,H3,2,7,52.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,6110.0,0.9615384615384616,1,2.0,49,0,0,0,0,1,34,100.0,0.0,0.0,0,0,0.0,0,52.0,2.0,0.0,0.0,0.0,20.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,50.0,6467.0,0.9615384615384616,0,0.0,50,0,0,0,0,0,0,,,0,0,0.0,0,,,,,,,,,,,,0.0,0.0,,,0,0,0,,52,2.266204911145832e-07,0,,0.0,0.0,,,,,,,,,,,
31,S1,A1,2,H4,3,7,S1,A1,2,H4,3,7,38.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,4112.0,0.9210526315789472,6,17.1,29,0,0,0,2,4,133,92.6,0.0,0.0,6,3,0.5,3,38.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,275.0,33.0,4072.0,0.868421052631579,2,6.1,31,0,2,0,0,0,66,0.0,0.0,2,1,0.5,1,100.0,0.0,77.0,0.0,26.0,27.0,0.9629629629629628,0.0,6.0,0.0,1.431751547015969e-07,0.0,27.0,4.0,1.0,0,0,0,,38,1.6560728196834926e-07,0,0.0526315789473684,0.0,0.0,,,,,,,,,,,
32,S1,A1,2,I15,14,8,S1,A1,2,I15,14,8,89.0,11.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,26.0,0.0,7.0,0.0,3.0,1.0,82.0,9396.0,0.9213483146067416,10,12.2,72,0,0,0,3,7,173,60.0,15.7,12.0,4,1,0.25,3,89.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,5.0,0.0,0.0,0.0,90.0,80.0,9983.0,0.898876404494382,4,5.0,76,0,3,1,0,0,56,22.2,41.0,4,1,0.25,3,75.0,0.0,62.0,0.0,3.0,7.0,0.4285714285714285,0.0,2.0,0.0,1.102192367395925e-07,0.0,19.0,4.0,0.6666666666666666,2,2,2,1.0,89,3.878696867153443e-07,1,0.0224719101123595,0.0224719101123595,0.5,,,,,,,,,,,
33,S1,A1,2,I16,15,8,S1,A1,2,I16,15,8,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,6357.0,1.0,5,9.6,47,0,0,0,5,0,169,88.9,0.0,0.0,5,3,0.6,2,52.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,52.0,6805.0,1.0,5,9.6,47,0,5,0,0,0,175,0.0,2.2,5,3,0.6,2,91.7,1.0,119.0,0.0084033613445378,19.0,21.0,0.9047619047619048,0.0,8.0,0.0,1.2999278751679514e-07,0.0263157894736842,38.0,4.0,1.0,0,0,0,,52,2.266204911145832e-07,0,0.0384615384615384,0.0,0.0,,,,,,,,,,,
34,S1,A1,2,I3,2,8,S1,A1,2,I3,2,8,71.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,104.0,71.0,8530.0,1.0,6,8.5,65,0,0,0,2,4,164,100.0,0.0,0.0,6,4,0.666667,2,71.0,1.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,80.0,70.0,8853.0,0.9859154929577464,0,0.0,70,0,0,0,0,0,0,,,0,0,0.0,0,,0.0,51.0,0.0,5.0,5.0,1.0,0.0,2.0,0.0,8.75162710324339e-08,0.0,15.0,2.0,1.0,0,0,0,,71,3.094241320987578e-07,0,0.0140845070422535,0.0,0.0,,,,,,,,,,,
35,S1,A1,2,I4,3,8,S1,A1,2,I4,3,8,139.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,2.0,124.0,137.0,16604.0,0.9856115107913668,43,31.4,85,9,0,0,17,26,1239,100.0,0.0,0.0,43,38,0.883721,5,139.0,19.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,138.0,17508.0,0.9928057553956836,42,30.4,87,9,17,25,0,0,933,0.0,5.2,42,37,0.880952,5,100.0,3.0,209.0,0.0143540669856459,24.0,24.0,1.0,0.0,17.0,0.0,3.537268527921805e-07,0.0,18.0,10.0,1.0,0,0,0,,139,6.057740050947511e-07,0,0.0359712230215827,0.0,0.0,,,,,,,,,,,
36,S1,A1,2,J15,14,9,S1,A1,2,J15,14,9,51.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,45.0,5389.0,0.8823529411764706,0,0.0,45,0,0,0,0,0,0,,,,0,0,0.0,0,51.0,7.0,0.0,0.0,0.0,4.0,21.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,47.0,5860.0,0.9215686274509804,0,0.0,47,0,0,0,0,0,0,,,0,0,0.0,0,,,,,,,,,,,,0.0,0.0,,,0,0,0,,51,2.22262404746995e-07,0,,0.0,0.0,,,,,,,,,,,
37,S1,A1,2,J16,15,9,S1,A1,2,J16,15,9,54.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,4.0,0.0,0.0,0.0,0.0,64.0,54.0,6424.0,1.0,0,0.0,54,0,0,0,0,0,0,,,,0,0,0.0,0,54.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,54.0,6940.0,1.0,0,0.0,54,0,0,0,0,0,0,,,0,0,0.0,0,,,,,,,,,,,,0.0,0.0,,,0,0,0,,54,2.3533666384975945e-07,0,,0.0,0.0,,,,,,,,,,,
38,S1,A1,2,J3,2,9,S1,A1,2,J3,2,9,80.0,5.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,78.0,9419.0,0.975,4,5.1,74,0,0,0,0,4,128,100.0,0.0,0.0,3,1,0.333333,2,80.0,10.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,80.0,10115.0,1.0,0,0.0,80,0,0,0,0,0,0,,,0,0,0.0,0,,0.0,62.0,0.0,2.0,2.0,1.0,,,,4.540593141431717e-08,0.0,0.0,2.0,1.0,0,0,0,,80,3.48646909407051e-07,0,0.0125,0.0,0.0,,,,,,,,,,,
39,S1,A1,2,J4,3,9,S1,A1,2,J4,3,9,65.0,13.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,3.0,60.0,7096.0,0.9230769230769232,0,0.0,60,0,0,0,0,0,0,,,,0,0,0.0,0,65.0,13.0,0.0,0.0,0.0,0.0,18.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,58.0,60.0,7471.0,0.9230769230769232,0,0.0,60,0,0,0,0,0,0,,,0,0,0.0,0,,,,,,,,,,,,0.0,0.0,,,0,0,0,,65,2.8327561389322896e-07,0,,0.0,0.0,,,,,,,,,,,
40,S1,A1,2,K15,14,10,S1,A1,2,K15,14,10,53.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,7.0,53.0,6412.0,1.0,5,9.4,48,0,0,0,0,5,145,50.0,0.0,0.0,0,0,0.0,0,53.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,50.0,53.0,6594.0,1.0,0,0.0,48,5,0,0,0,0,0,,,0,0,0.0,0,,,,,,,,,,,,0.0,0.0,,,0,0,0,,53,2.309785774821713e-07,0,,0.0,0.0,,,,,,,,,,,
