Plate,PCRIndex,MultiplexGroup,RandomIndex,Col384,Row384,Plate.1,PCRIndex.1,MultiplexGroup.1,RandomIndex.1,Col384.1,Row384.1,R1InputReads,R1WithR1Adapter,R1WithTSO,R1WithN6,R1WithTSO_rc,R1WithN6_rc,R1With3PpolyT,R1With5PpolyT,R1With3PpolyA,R1With5PpolyA,R1WithpolyTLong,R1WithpolyALong,R1WithISPCR_F,R1WithISPCR_R,R1QualTrimBP,R1TrimmedReads,R1TrimmedReadsBP,R1TrimmedReadsRate,R1UniqueMappedReads,R1MappingRate,R1UnmappedReads,R1UnuniqueMappedReads,R1OT,R1OB,R1CTOT,R1CTOB,R1TotalC,R1TotalmCGRate,R1TotalmCHGRate,R1TotalmCHHRate,R1MAPQFilteredReads,R1DuplicatedReads,R1DuplicationRate,R1FinalBismarkReads,R2InputReads,R2WithR1Adapter,R2WithTSO,R2WithN6,R2WithTSO_rc,R2WithN6_rc,R2With3PpolyT,R2With5PpolyT,R2With3PpolyA,R2With5PpolyA,R2WithpolyTLong,R2WithpolyALong,R2WithISPCR_F,R2WithISPCR_R,R2QualTrimBP,R2TrimmedReads,R2TrimmedReadsBP,R2TrimmedReadsRate,R2UniqueMappedReads,R2MappingRate,R2UnmappedReads,R2UnuniqueMappedReads,R2OT,R2OB,R2CTOT,R2CTOB,R2TotalC,R2TotalmCGRate,R2TotalmCHGRate,R2TotalmCHHRate,R2MAPQFilteredReads,R2DuplicatedReads,R2DuplicationRate,R2FinalBismarkReads,mCHmC,mCHCov,mCHFrac,mCGmC,mCGCov,mCGFrac,mCCCmC,mCCCCov,mCCCFrac,GenomeCov,LambdaCYFrac,LambdaCYCov,FinalDNAReads,SelectedDNAReadsRatio,FinalCountedReads,FinalRNAReads,RNAUniqueMappedReads,SelectedRNAReadsRatio,CellInputReadPairs,CellBarcodeRatio,GenesDetected,DNAReadsYield,RNAReadsYield,RNA/(DNA+RNA),Dnmt3a_g1,Dnmt3a_g2,Foxg1_g1,Foxg1_g2,Safe_g1,Safe_g2,Total_grna
S_10,A1,5,D9,8,3,S_10,A1,5,D9,8,3,678187.0,264176.0,8977.0,1886.0,6614.0,3237.0,9384.0,27627.0,11517.0,6374.0,115610.0,42881.0,667.0,4549.0,410410.0,450465.0,44317714.0,0.664219455695848,304987,67.7,125908,19570,0,0,150495,154492,5381800,96.6,98.1,97.6,239888,54304,0.226372,185584,678187.0,262801.0,8405.0,26.0,8723.0,5447.0,9907.0,14.0,18099.0,1593.0,69220.0,68012.0,22.0,5664.0,523326.0,516200.0,53509760.0,0.7611469992789599,278036,53.9,216933,21231,133725,144311,0,0,4967617,96.0,97.6,97.3,177962,34377,0.19317,143585,2144,7428,0.2886375875067313,62.0,147.0,0.4217687074829932,193.0,749.0,0.2576769025367156,9.102424541105613e-06,0,0,388.0,0.0011787258216903,307462,360789,378945,0.9520880338835452,678187,0.0055242158586937,5437,0.0002860567955445,0.5319904392151428,1.9440633671902363,0,0,0,0,0,0,0
S_10,A1,5,E10,9,4,S_10,A1,5,E10,9,4,447107.0,150325.0,6597.0,2084.0,4447.0,2184.0,6314.0,25244.0,7231.0,6164.0,89824.0,29922.0,611.0,3027.0,264136.0,291350.0,29129311.0,0.6516337252603963,200315,68.8,77586,13449,0,0,96033,104282,3475666,96.7,98.1,97.7,161086,39759,0.246818,121327,447107.0,150177.0,7482.0,30.0,4900.0,4060.0,6899.0,12.0,13345.0,689.0,48638.0,47885.0,12.0,4105.0,363914.0,345388.0,36657575.0,0.7724951745331654,183627,53.2,147120,14641,86993,96634,0,0,3279924,96.1,97.6,97.4,118657,26082,0.21981,92575,1025,4193,0.2444550441211543,29.0,81.0,0.3580246913580246,64.0,440.0,0.1454545454545454,5.572845727374943e-06,0,0,250.0,0.0011687595253901,199744,230440,243917,0.9447475985683654,447107,0.0036419388456767,4731,0.0002795751352584,0.5154023533516585,1.899314255571673,0,0,0,0,0,0,0
S_10,A1,5,E21,20,4,S_10,A1,5,E21,20,4,472555.0,152643.0,9384.0,1901.0,6961.0,2546.0,6158.0,40676.0,8112.0,5810.0,75599.0,35954.0,247.0,3679.0,320779.0,330083.0,33126239.0,0.6985070520891749,235023,71.2,82949,12111,0,0,111086,123937,4152411,96.8,98.1,97.7,191979,48554,0.252913,143425,472555.0,151349.0,8554.0,50.0,7099.0,5838.0,7045.0,5.0,12841.0,1022.0,60092.0,43283.0,41.0,4102.0,441323.0,354474.0,38225217.0,0.7501222079969527,223631,63.1,119612,11231,101891,121740,0,0,4314607,96.7,97.9,97.5,154692,40553,0.262153,114139,800,3175,0.2519685039370078,30.0,94.0,0.3191489361702128,24.0,224.0,0.1071428571428571,4.348350286653357e-06,0,0,198.0,0.0007687409731173,223665,261743,271034,0.9657201679494084,472555,0.003849227167588,4825,0.0002094994233475,0.5538889653056258,1.8249341123645644,0,0,0,0,0,0,0
S_10,A1,5,E22,21,4,S_10,A1,5,E22,21,4,258003.0,81904.0,5316.0,1127.0,4925.0,1511.0,4146.0,16563.0,4272.0,3083.0,40335.0,16439.0,156.0,2170.0,146240.0,178751.0,18236464.0,0.6928252772254586,123138,68.9,48456,7157,0,0,57391,65746,2205029,97.1,97.9,97.5,102289,28627,0.279864,73662,258003.0,81389.0,6333.0,43.0,3928.0,2522.0,3863.0,4.0,6537.0,392.0,29325.0,25259.0,45.0,2864.0,261828.0,191258.0,20679173.0,0.7413014577349876,114264,59.7,69294,7700,51786,62478,0,0,2234185,96.9,97.7,97.3,81285,23916,0.294224,57369,814,9977,0.0815876515986769,286.0,366.0,0.7814207650273224,46.0,663.0,0.0693815987933635,1.6107754169229013e-05,0,0,472.0,0.0036022010058688,112780,135044,139788,0.9660628952413656,258003,0.0021015800423637,3543,0.0009147180459141,0.5234202703069344,1.8332677192077436,0,0,0,0,0,0,0
S_10,A1,5,E9,8,4,S_10,A1,5,E9,8,4,179616.0,64872.0,2530.0,914.0,1852.0,791.0,2658.0,11520.0,2601.0,1885.0,34608.0,10111.0,247.0,1155.0,124398.0,115659.0,11499911.0,0.6439237039016569,76124,65.8,33714,5821,0,0,36724,39400,1283554,96.5,98.0,97.7,61015,12507,0.204982,48508,179616.0,65233.0,2789.0,15.0,2021.0,1778.0,2462.0,2.0,5560.0,261.0,17117.0,18301.0,10.0,1946.0,146838.0,137187.0,14522784.0,0.7637793960448958,68058,49.6,63324,5805,32256,35802,0,0,1187230,95.8,97.6,97.4,44625,8008,0.179451,36617,369,1368,0.2697368421052631,11.0,57.0,0.1929824561403508,37.0,124.0,0.2983870967741935,2.1487258511226865e-06,0,0,88.0,0.0010337738619676,75551,88714,95117,0.93268290631538,179616,0.0014630736886362,4085,0.0002449670407981,0.4939092285765188,1.828815271392937,0,0,0,0,0,0,0
S_10,A1,5,F10,9,5,S_10,A1,5,F10,9,5,429506.0,148836.0,5497.0,1733.0,3612.0,1594.0,4518.0,30264.0,5624.0,4268.0,105883.0,27866.0,476.0,2340.0,309768.0,254919.0,24862378.0,0.5935167378336973,164727,64.6,79343,10849,0,0,78898,85829,2868200,96.4,98.1,97.7,130396,31667,0.242853,98729,429506.0,147701.0,5710.0,26.0,4509.0,3886.0,6062.0,4.0,13233.0,600.0,42263.0,59670.0,25.0,3839.0,345221.0,325196.0,33914852.0,0.7571395975842014,154016,47.4,158980,12200,72325,81691,0,0,2763663,95.9,97.6,97.3,97382,19939,0.20475,77443,984,3936,0.25,34.0,115.0,0.2956521739130435,107.0,440.0,0.2431818181818182,5.197880616340582e-06,0,0,214.0,0.0012147219762504,169556,197543,208765,0.9462457787464372,429506,0.0034985687673224,4041,0.0002491234115472,0.4599307110960033,2.000840676592728,0,0,0,0,0,0,0
S_10,A1,5,F21,20,5,S_10,A1,5,F21,20,5,212823.0,70438.0,4146.0,743.0,3979.0,1320.0,3654.0,12513.0,3812.0,2865.0,30923.0,12477.0,88.0,1854.0,115542.0,151588.0,15477284.0,0.712272639705295,110387,72.8,36446,4755,0,0,52807,57580,1873800,96.9,98.2,97.8,90629,23664,0.261108,66965,212823.0,70619.0,5498.0,21.0,2790.0,2125.0,3254.0,6.0,6087.0,368.0,22851.0,16033.0,18.0,1984.0,193886.0,162463.0,17708389.0,0.7633714401169046,104488,64.3,53578,4397,49240,55248,0,0,1998960,96.8,98.0,97.6,72448,19341,0.266964,53107,242,1190,0.2033613445378151,22.0,40.0,0.55,12.0,116.0,0.1034482758620689,2.0018889277586446e-06,0,0,95.0,0.0007911919514957,103401,120477,126158,0.9549691656494236,212823,0.0017335634444405,3938,0.0002231901627173,0.5660901312358156,1.7990771436251232,0,0,0,0,0,1,1
S_10,A1,5,F22,21,5,S_10,A1,5,F22,21,5,273472.0,83435.0,4615.0,982.0,5356.0,1393.0,3859.0,13753.0,4077.0,4588.0,66576.0,14823.0,117.0,1866.0,138472.0,169998.0,17114592.0,0.6216285396676808,119592,70.3,44451,5955,0,0,55500,64092,2064221,96.9,98.2,97.8,97974,26416,0.269623,71558,273472.0,84095.0,7207.0,32.0,3656.0,3297.0,4127.0,6.0,7760.0,369.0,25550.0,33541.0,45.0,2830.0,275183.0,207793.0,22418608.0,0.7598328165223497,131219,63.1,70341,6233,59089,72130,0,0,2533988,96.9,97.9,97.6,92071,26286,0.285497,65785,308,1247,0.2469927826784282,13.0,41.0,0.3170731707317073,25.0,138.0,0.181159420289855,2.071462532345098e-06,0,0,82.0,0.0005970453536037,114586,131457,136800,0.9609429824561404,273472,0.002227583777496,3670,0.000149923941025,0.4806963784226539,1.837043558462248,0,0,0,0,0,0,0
S_10,A1,5,F9,8,5,S_10,A1,5,F9,8,5,144113.0,53811.0,2116.0,764.0,1664.0,660.0,2409.0,7631.0,2205.0,1348.0,23413.0,6511.0,198.0,1155.0,92786.0,99484.0,9958715.0,0.690319402135824,66104,66.4,28616,4764,0,0,31563,34541,1077189,96.5,98.1,97.8,52743,11034,0.209203,41709,144113.0,54570.0,2304.0,8.0,1487.0,1326.0,1989.0,6.0,4350.0,277.0,11607.0,13602.0,8.0,1288.0,114997.0,113717.0,12019699.0,0.7890821785682068,58439,51.4,50343,4935,27268,31171,0,0,976889,96.0,97.7,97.5,37581,7423,0.19752,30158,327,1231,0.2656376929325751,9.0,59.0,0.1525423728813559,26.0,85.0,0.3058823529411765,1.9194991328536337e-06,0,0,68.0,0.0009461922718354,62895,75262,81682,0.9214025121813864,144113,0.0011738817170543,3733,0.0002359259747559,0.5222429621200031,1.8044114121313837,0,0,0,0,0,0,0
S_10,A1,5,G10,9,6,S_10,A1,5,G10,9,6,415703.0,145720.0,6656.0,2302.0,4513.0,2412.0,6932.0,22744.0,6954.0,6742.0,63523.0,26731.0,628.0,3240.0,254254.0,289417.0,29102963.0,0.6962109967933837,201198,69.5,74560,13659,0,0,95905,105293,3458265,96.6,98.1,97.7,160765,41469,0.257948,119296,415703.0,145931.0,6527.0,31.0,4533.0,4140.0,6443.0,8.0,11870.0,777.0,44348.0,37850.0,14.0,4003.0,359878.0,322126.0,34174702.0,0.7748945761757794,177989,55.3,130074,14063,83318,94671,0,0,3132798,96.0,97.6,97.4,115622,26822,0.23198,88800,1218,4716,0.2582697201017812,32.0,100.0,0.32,106.0,435.0,0.2436781609195402,5.815620989695042e-06,0,0,249.0,0.0011965631247116,191781,227456,242313,0.9386867398777614,415703,0.003386135542419,4600,0.0002994926666394,0.5471598713504593,1.9066363781151243,0,0,0,0,0,0,0
