,Plate,PCRIndex,MultiplexGroup,RandomIndex,Col384,Row384,Plate.1,PCRIndex.1,MultiplexGroup.1,RandomIndex.1,Col384.1,Row384.1,R1InputReads,R1WithR1Adapter,R1WithTSO,R1WithN6,R1WithTSO_rc,R1WithN6_rc,R1With3PpolyT,R1With5PpolyT,R1With3PpolyA,R1With5PpolyA,R1WithpolyTLong,R1WithpolyALong,R1WithISPCR_F,R1WithISPCR_R,R1QualTrimBP,R1TrimmedReads,R1TrimmedReadsBP,R1TrimmedReadsRate,R1UniqueMappedReads,R1MappingRate,R1UnmappedReads,R1UnuniqueMappedReads,R1OT,R1OB,R1CTOT,R1CTOB,R1TotalC,R1TotalmCGRate,R1TotalmCHGRate,R1TotalmCHHRate,R1MAPQFilteredReads,R1DuplicatedReads,R1DuplicationRate,R1FinalBismarkReads,R2InputReads,R2WithR1Adapter,R2WithTSO,R2WithN6,R2WithTSO_rc,R2WithN6_rc,R2With3PpolyT,R2With5PpolyT,R2With3PpolyA,R2With5PpolyA,R2WithpolyTLong,R2WithpolyALong,R2WithISPCR_F,R2WithISPCR_R,R2QualTrimBP,R2TrimmedReads,R2TrimmedReadsBP,R2TrimmedReadsRate,R2UniqueMappedReads,R2MappingRate,R2UnmappedReads,R2UnuniqueMappedReads,R2OT,R2OB,R2CTOT,R2CTOB,R2TotalC,R2TotalmCGRate,R2TotalmCHGRate,R2TotalmCHHRate,R2MAPQFilteredReads,R2DuplicatedReads,R2DuplicationRate,R2FinalBismarkReads,mCHmC,mCHCov,mCHFrac,mCGmC,mCGCov,mCGFrac,mCCCmC,mCCCCov,mCCCFrac,GenomeCov,LambdaCYFrac,LambdaCYCov,FinalDNAReads,SelectedDNAReadsRatio,FinalCountedReads,FinalRNAReads,RNAUniqueMappedReads,SelectedRNAReadsRatio,CellInputReadPairs,CellBarcodeRatio,GenesDetected,DNAReadsYield,RNAReadsYield,RNA/(DNA+RNA),Safe_g1,Safe_g2,Dnmt3a_g1,Foxg1_g1,Total_grna,Dnmt3a_total,Foxg1_total,Safe_total,assign_ident
67,R,A1,1,A2,1,0,R,A1,1,A2,1,0,71281.0,25446.0,2205.0,1999.0,1697.0,200.0,1281.0,1742.0,5567.0,2079.0,73.0,1070.0,171.0,1224.0,36055.0,58448.0,6065626.0,0.8199660498590087,25099,42.9,30374,2975,0,0,12538,12561,598544,83.0,8.0,8.9,22051,6969,0.31604,15082,71281.0,26014.0,1353.0,176.0,1817.0,3165.0,5633.0,1.0,1293.0,116.0,1050.0,84.0,39.0,272.0,87230.0,61363.0,6617872.0,0.860860537871242,24027,39.2,34693,2643,11924,12103,0,0,607990,83.6,7.5,8.2,19631,6481,0.330141,13150,21616,630656,0.034275421148772,22239.0,26616.0,0.8355500450856628,290.0,40015.0,0.007247282269149,0.0010543348818621,0.0,0.0,26420,0.9358175120430716,1606,1831,2153,0.8504412447747329,71281,0.001236699529136,579,0.1853228770640142,0.0256870694855571,0.1213949479546509,1.0,,,,1.0,,,1.0,Safe
68,R,A1,1,B1,0,1,R,A1,1,B1,0,1,73750.0,17610.0,2940.0,1592.0,1815.0,134.0,1770.0,1677.0,7068.0,3365.0,82.0,1407.0,179.0,1518.0,37789.0,63741.0,6990389.0,0.8642847457627119,31762,49.8,27692,4287,0,0,15925,15837,766357,70.3,4.6,4.9,28327,9658,0.340947,18669,73750.0,18516.0,1297.0,131.0,2600.0,2879.0,7365.0,0.0,1677.0,143.0,1468.0,74.0,58.0,364.0,83273.0,67129.0,7645262.0,0.9102237288135592,29922,44.6,33364,3843,14899,15023,0,0,768269,68.0,4.2,4.3,24994,8824,0.353045,16170,4452,798816,0.0055732484076433,22620.0,34271.0,0.6600332642759185,212.0,52375.0,0.0040477326968973,0.0013586523915613,0.0,0.0,33057,0.948850426246448,1567,1782,2163,0.8238557558945908,73750,0.0012795357847642,606,0.2241152542372881,0.0241627118644067,0.0954472415640064,,,,,,,,,
69,R,A1,1,B13,12,1,R,A1,1,B13,12,1,54495.0,10493.0,563.0,100.0,1084.0,143.0,1427.0,1966.0,5304.0,2590.0,2544.0,2441.0,26.0,1141.0,34131.0,45196.0,5069158.0,0.8293604917882375,26662,59.0,14979,3555,0,0,13519,13143,642895,81.5,8.6,9.8,23807,7837,0.329189,15970,54495.0,11742.0,793.0,5.0,320.0,984.0,5634.0,1.0,1399.0,98.0,2970.0,2094.0,9.0,138.0,57920.0,46008.0,5422762.0,0.844260941370768,25337,55.1,17496,3175,12854,12483,0,0,653839,81.2,8.4,9.2,20984,7191,0.34269,13793,18498,661546,0.0279617743890825,22972.0,28840.0,0.7965325936199723,296.0,44007.0,0.0067262026495784,0.0010976869272336,0.0,0.0,27110,0.9108624802607264,2291,2661,3000,0.887,54495,0.0009454685097048,718,0.2487384163684741,0.0488301679053124,0.1666144887608791,,,,,,,,,
70,R,A1,1,B14,13,1,R,A1,1,B14,13,1,80548.0,14201.0,757.0,131.0,1336.0,200.0,1887.0,3936.0,7323.0,3102.0,7610.0,3874.0,39.0,1491.0,49256.0,64129.0,7201127.0,0.7961588121368625,41160,64.2,17691,5278,0,0,20700,20460,939183,80.9,17.4,18.2,35949,11089,0.308465,24860,80548.0,15854.0,1471.0,62.0,613.0,1442.0,7277.0,0.0,2514.0,169.0,4838.0,4876.0,14.0,315.0,66559.0,68061.0,8058143.0,0.8449744251874659,40326,59.2,22957,4778,20143,20183,0,0,974381,80.6,19.7,20.3,31893,9930,0.311354,21963,21974,874610,0.0251243411349058,28633.0,36992.0,0.774032223183391,416.0,56259.0,0.0073943724559626,0.001456664023934,0.0,0.0,36617,0.7820301988339065,7980,9146,9987,0.9157905276859918,80548,0.0013974786222534,1735,0.2272992501365645,0.1135472016685703,0.3678854430634327,,,,,,,,,
71,R,A1,1,B2,1,1,R,A1,1,B2,1,1,82717.0,25181.0,1919.0,1282.0,1763.0,287.0,1862.0,1903.0,7212.0,3624.0,117.0,1532.0,167.0,1600.0,55877.0,69904.0,7466977.0,0.8450983473772018,33982,48.6,31462,4460,0,0,17047,16935,819509,79.8,6.3,7.0,30240,9994,0.330489,20246,82717.0,26329.0,1264.0,387.0,1576.0,2390.0,7741.0,0.0,1875.0,138.0,1488.0,125.0,58.0,278.0,98123.0,72516.0,8080013.0,0.8766758949188196,32121,44.3,36424,3971,16125,15996,0,0,826410,79.2,6.3,6.7,26797,9172,0.342277,17625,23940,864193,0.02770214523839,29544.0,37648.0,0.7847428814279643,335.0,56236.0,0.0059570381961732,0.0014583001021724,0.0,0.0,35873,0.9472419529455256,1646,1941,2359,0.8228062738448495,82717,0.0014351099865538,626,0.2168417616693062,0.0234655512167994,0.0958660542302563,,,,,,,,,
72,R,A1,1,C1,0,2,R,A1,1,C1,0,2,64718.0,16463.0,1689.0,1087.0,1643.0,192.0,1463.0,1602.0,6080.0,2628.0,112.0,1259.0,124.0,1327.0,41388.0,55798.0,6125590.0,0.8621712661083469,27487,49.3,25045,3266,0,0,14067,13420,664442,78.7,6.9,7.8,24764,8249,0.333105,16515,64718.0,17811.0,1128.0,179.0,1476.0,2228.0,6204.0,0.0,1501.0,121.0,1208.0,117.0,18.0,244.0,71876.0,57715.0,6576699.0,0.8917920825736271,25898,44.9,29003,2814,13188,12710,0,0,667790,78.5,6.7,7.1,21609,7505,0.347309,14104,16915,694388,0.024359579946658,23522.0,30321.0,0.7757659707793279,260.0,45126.0,0.0057616451712981,0.0011789137444114,0.0,0.0,28668,0.9362813939057448,1761,2015,2318,0.869283865401208,64718,0.0011228338565203,646,0.2214839766371025,0.0311350783398745,0.1220029062727052,,,,,,,,,
73,R,A1,1,C13,12,2,R,A1,1,C13,12,2,90160.0,17491.0,496.0,111.0,1685.0,273.0,2591.0,3593.0,8250.0,3998.0,3469.0,3969.0,28.0,1934.0,53508.0,76467.0,8589524.0,0.848125554569654,48895,63.9,21850,5722,0,0,24491,24404,1134466,82.3,15.2,16.4,42773,13659,0.319337,29114,90160.0,19963.0,1248.0,3.0,477.0,1539.0,8990.0,0.0,2472.0,181.0,4852.0,2372.0,2.0,344.0,82874.0,77024.0,9121307.0,0.8543034605146407,45507,59.1,26591,4926,22645,22862,0,0,1132111,81.3,15.0,15.9,36407,11954,0.328343,24453,26441,1062220,0.0248922068874621,36952.0,46438.0,0.7957276368491322,443.0,69858.0,0.0063414354834092,0.00178500493312,0.0,0.0,44057,0.8224653238001008,8194,9740,10586,0.920083128660495,90160,0.0015642433403979,1712,0.2443267524401065,0.1080301685891748,0.3345354628198523,,,,,,,,,
74,R,A1,1,C14,13,2,R,A1,1,C14,13,2,59638.0,23834.0,524.0,124.0,935.0,132.0,1230.0,2198.0,3184.0,408.0,2664.0,1568.0,42.0,838.0,36426.0,45698.0,4782393.0,0.7662564136959656,18323,40.1,25173,2202,0,0,9160,9163,405817,79.6,23.6,24.9,15610,4425,0.283472,11185,59638.0,25341.0,638.0,2.0,361.0,742.0,3239.0,1.0,1247.0,91.0,2168.0,1842.0,9.0,214.0,57500.0,46628.0,5107589.0,0.7818504980046279,17380,37.3,27302,1946,8762,8618,0,0,409357,79.2,22.2,23.1,13398,3880,0.289595,9518,5573,353733,0.015754820726367,11517.0,15538.0,0.7412150855966019,261.0,22789.0,0.0114528939400588,0.0005821966834787,0.0,0.0,14976,0.7233734241414288,5068,5830,6315,0.9231987331749802,59638,0.0010346976967019,1329,0.1255575304336161,0.0977564639994634,0.5211871982835687,,,,,,,,,
75,R,A1,1,C2,1,2,R,A1,1,C2,1,2,83018.0,21709.0,2373.0,1469.0,1996.0,212.0,1795.0,3379.0,8083.0,3218.0,91.0,1552.0,268.0,1875.0,48528.0,70581.0,7711129.0,0.8501891156134814,35925,50.9,30163,4493,0,0,18050,17875,871380,78.6,4.3,4.7,32102,11088,0.345399,21014,83018.0,23128.0,1366.0,177.0,2149.0,2832.0,8289.0,0.0,1947.0,145.0,1643.0,138.0,35.0,454.0,93995.0,73707.0,8343253.0,0.8878436001830928,33603,45.6,36335,3769,16759,16844,0,0,865738,78.3,4.1,4.5,27980,10060,0.359543,17920,15717,904851,0.0173697105932357,30688.0,39582.0,0.7753019049062705,300.0,59383.0,0.0050519508950373,0.0015389868084725,0.0,0.0,37541,0.9642215030564544,1168,1429,1797,0.7952142459654981,83018,0.0014403322275194,461,0.226101568334578,0.0172131345009516,0.0679990482988341,,,,,,,,,
76,R,A1,1,D1,0,3,R,A1,1,D1,0,3,96433.0,60951.0,10520.0,6267.0,1785.0,539.0,400.0,689.0,1388.0,933.0,28.0,243.0,638.0,488.0,50609.0,63250.0,5023805.0,0.6558958033038482,4296,6.8,58758,196,0,0,2089,2207,85591,96.5,98.0,97.5,3678,1053,0.286297,2625,96433.0,59407.0,1469.0,1234.0,9985.0,6965.0,1329.0,0.0,437.0,64.0,257.0,24.0,158.0,859.0,149509.0,75065.0,6049146.0,0.7784161023715948,3411,4.5,71515,139,1696,1715,0,0,70251,95.4,97.7,97.2,2309,651,0.28194,1658,14,130,0.1076923076923077,2.0,13.0,0.1538461538461538,0.0,8.0,0.0,2.588870444348568e-07,0.0,0.0,8,0.0018678496381041,4122,4692,4835,0.9704239917269908,96433,0.0016730776180633,1004,4.1479576493524e-05,0.0486555432269036,1.7867479055597868,,,,,,,,,
